title,author,litres mark,litres votes,livelib mark,livelib votes,avg_word_len,avg_sent_len,avg_words_per_par,comma_freq,colon_freq,dash_freq,A1 voc,A2 voc,B1 voc,B2 voc,C1 voc,C2 voc,unknown voc,TTR,TTR-root,TTR-log,TTR-corrected,TTR-hdd,TTR-mtld,FKD-oborneva,FRE-oborneva,FKD-soloviev,FRE-soloviev
Когда пал Херсонес. Анна Ярославна, королева Франции,5.0,2,4.4,3,5.436250086962106,13.617608505680163,33.03296897038082,90.05646726663137,4.173283924475031,18.32980412916888,0.56,0.11,0.11,0.1,0.02,0.02,0.08,0.1898293686586999,82.168492471774,0.8631367592476625,58.10189822666718,0.9349485198224632,523.54508069556,10.560550214433665,50.76203018445463,6.195367317321948,83.03092079492717
"Игрок, забравшийся на вершину. Том 2. [СИ] ", Дмитрий Владимирович Михалек,4.1,138,3.3,80,5.111582478295185,10.416677324466043,22.36513157894737,87.79093507554104,4.695794201714985,0.0,0.63,0.13,0.12,0.05,0.02,0.01,0.04,0.2015247340295141,57.56274556441233,0.8583622607521075,40.70300773231183,0.935268156850672,320.8941330369718,7.839822135095957,62.90309146282118,4.274585924620171,96.58537398315084
Легендарный Лунный Скульптор. Книга 14, Хи Сон Нам,4.0,2823,4.1,2716,5.577184899951867,10.287350946925416,15.648581560283688,72.51873262514498,5.191744757626526,21.66909070824972,0.59,0.15,0.12,0.05,0.02,0.01,0.06,0.2525096875070815,53.04446670380813,0.8713116334820759,37.50810211068677,0.9423582515366452,355.15945502224383,9.245620669282731,52.53011904329529,5.236192282867046,90.06184405998674
Играет чемпион 2, Антон Емельянов Сергей Савинов,4.6,104,4.0,32,4.998519803238491,13.398327026488747,45.80761386811693,100.37206258407764,2.9813483935864653,23.305418540108832,0.68,0.13,0.1,0.03,0.01,0.01,0.04,0.1991748660641408,51.70228116289293,0.8548704235249638,36.559033613095096,0.919794038608841,282.604018186437,8.893023409104956,62.106526756349965,5.047507320696878,90.88135991045604
Скоморошины, Афанасьев,4.5,8,None,None,4.934598110825196,13.978260869565217,19.87250869977855,108.78771350301216,10.957829516274336,0.8641241397061978,0.55,0.11,0.11,0.07,0.02,0.03,0.12,0.2235939315790311,79.25261593150452,0.8724208055169452,56.04006215193986,0.9328451876781364,165.33419242944117,9.04134852597149,62.42964805824106,5.159636605636765,90.02707729036813
Шахматы богов 2, Заговор отверженных,4.8,62,None,None,5.302145321111004,11.410836976889444,48.93987975951904,74.24019356090434,0.593465036920373,0.0,0.64,0.13,0.1,0.05,0.01,0.02,0.05,0.2216671443975813,59.99895353268022,0.8655058209993839,42.42566690705475,0.9345355906152388,388.8466727955887,9.142450858903413,55.85276827433785,5.184901901895982,90.24067556837184
Галактиона. Чек на миллиард, Василий Маханенко,4.7,225,3.5,2,5.483345899676232,8.33121429887599,28.042053184910326,75.23546282416754,2.9459930162636145,1.2997028012927712,0.58,0.12,0.12,0.07,0.02,0.02,0.07,0.2195329040225829,66.11112301410107,0.8671722118827305,46.74762339512889,0.9368243653631564,438.8206265806319,7.811174608127562,58.39828158696994,4.219489331119311,97.27054694246496
Специалист, Сергей Залевский,2.0,45,None,None,5.518930255510472,19.919007362967005,50.58677685950413,83.27185746540586,4.482149643439966,0.0,0.62,0.12,0.1,0.06,0.02,0.02,0.05,0.2278222512661329,61.74445361882693,0.867981220251366,43.65992185453078,0.9438331852348684,417.42279984114873,13.97002897360512,40.70975841039001,8.64125222841931,65.44069473288587
На дне. Избранное (сборник), Максим Горький,4.5,3427,4.1,51,4.90435171773266,10.039654173106646,20.44391009912651,103.46177629629088,6.472764261852404,40.40995393323796,0.64,0.1,0.11,0.05,0.02,0.02,0.06,0.1719226319352097,78.46587344102997,0.8562303584843867,55.48375120187771,0.9326758522032148,241.43076718709085,7.022686626350563,67.93723481152638,3.7081501412685576,100.49378422725913
Стальная роза, Елена Горелик,4.7,13,3.7,21,5.226963431569202,10.803093297854648,35.95468361425808,92.1264191469776,2.3933722000613686,0.0,0.63,0.1,0.1,0.06,0.02,0.02,0.06,0.2157623731939748,77.83012673393795,0.8697732724735249,55.03421039417592,0.9384648509061768,405.9916277258567,8.385472658630697,59.89630198211907,4.655499982212872,93.93394733958392
Властитель Мертвых, Владислав Андреевич Бобков,4.1,22,3.0,2,5.388001927134384,10.117765138842422,24.74235629841011,70.50316769090934,5.08729803426804,0.0,0.58,0.12,0.15,0.06,0.03,0.02,0.05,0.2472443280114675,60.91098740079726,0.8731222921116814,43.0705722398721,0.940577217283698,404.4652845904033,8.493132786472955,57.570447525341535,4.717614589998357,93.61368087441883
Дикий лейтенант (СИ), Игорь Александрович Гертов,4.3,4828,4.3,4729,5.43481033717835,6.242511355142874,17.786287023400426,50.809623356836624,0.3684937816674343,39.77606916344825,0.63,0.12,0.1,0.06,0.01,0.02,0.07,0.2122051300923711,69.96078419786716,0.8663189617840453,49.46974492344053,0.9401796568506156,412.4806433480436,6.660530862750559,61.85316838968262,3.394512644762635,103.19965514686234
В Крыму (сборник), Александр Иванович Куприн,4.4,6,4.6,14,5.299783883914788,14.360693641618496,40.91489361702128,110.95001825719012,5.240887514229869,0.0536976179736666,0.59,0.13,0.1,0.07,0.02,0.02,0.06,0.2899982665973306,79.41770772457073,0.8897231266042509,56.156799678335226,0.9327959513306592,397.78245115296215,10.4369300100219,53.40099621451267,6.123806023872431,83.40237524433796
Игра Джи. Тайное становится явным, Сергей Анатольевич Савинов & Антон Дмитриевич Емельянов,4.7,62,4.3,34,5.24984917953668,12.557358490566038,31.750950570342205,91.43436146729232,4.197778072640861,0.0,0.59,0.14,0.1,0.07,0.02,0.02,0.06,0.2306598407281001,59.61742602443764,0.8679680636666851,42.155886218767215,0.9329204398791452,338.926598564193,9.353938771844287,56.96445507967872,5.34968046395853,88.94638096948856
Фрактал. Четыре демона. Том 1., Арчи Вар,4.3,229,5.0,1,5.534626705913834,14.231372549019609,41.05359095880423,111.79607753182704,1.1182475054478724,0.0,0.56,0.12,0.13,0.08,0.02,0.02,0.07,0.2420566557144125,81.22795283314395,0.8780414558980496,57.43683627021712,0.9379242220424104,553.7764574209862,11.106402227951246,48.18896037018973,6.579695191550526,80.32759927692149
Универсал. Часть первая (СИ), Иван Шаман,4.6,1096,4.5,225,5.172916255509506,8.300444767177998,27.7812784004847,89.58793075961368,1.1159684172547175,44.9659755493837,0.67,0.11,0.08,0.04,0.02,0.03,0.05,0.1998778705864392,60.52901261254336,0.8590932607410706,42.800475276855465,0.931653326114436,289.0403997583202,6.7213992335288175,66.12491970987739,3.471684516162467,102.36441403864556
Поступь инферно, Карина Вран,4.7,43,4.0,22,5.43044056858196,12.45731439449407,26.12018348623853,94.2384554992506,9.626364998929413,0.0,0.54,0.13,0.11,0.07,0.02,0.03,0.1,0.2711531031575989,79.24585711019846,0.885068910998893,56.03528294356151,0.9416994174425212,518.1479270845285,9.855101805953488,53.18228051426652,5.691856181112618,86.63062579619135
Чужие звезды, Алекс Каменев,4.1,139,3.0,6,5.655743550763398,11.545031895340037,26.57969215491559,74.28243837187082,2.690617236766673,30.00955474871011,0.58,0.14,0.13,0.07,0.02,0.02,0.05,0.2164333149640865,70.81802577273538,0.867848202481702,50.07590625414489,0.942687662441578,605.0444057170605,10.122174754345178,49.1757480559709,5.85921673520833,85.62967708949702
Хмарь. Солдат удачи, Николай Соколов,4.2,11,5.0,1,5.590476997014799,9.321309547147616,25.829545454545453,78.20653438362083,2.243493867783428,27.370625186957824,0.57,0.12,0.1,0.08,0.03,0.02,0.08,0.3142899042591079,68.66569116884456,0.8925648548724519,48.553975860351215,0.9425933877501372,485.6582520142176,8.721021463598948,54.12296833307949,4.860203821587104,92.762958223572
Видящий, Валерий Пылаев,4.6,269,4.2,26,5.035764331210191,9.71906302974264,28.19599109131403,69.90400199476375,2.8425383368657275,0.0,0.58,0.11,0.11,0.06,0.02,0.02,0.1,0.2268878357030015,57.08382517286756,0.8658332382502625,40.364359875802,0.9277224140642044,315.96525331301166,7.041749264416243,67.05774353969,3.71562800118538,100.4918377902804
Пангея. Том 1, Павел Петкевич,4.4,41,None,None,5.29697052030974,12.05990248432784,29.477053824362606,97.6266135530857,5.823235164434173,18.32114457739733,0.6,0.11,0.11,0.08,0.02,0.02,0.05,0.3095123685778538,70.59800047599919,0.8920065131385014,49.920324874790126,0.9282987241424746,368.6925893532076,9.21215322634584,56.76428119325644,5.243313138430205,89.75027053804958
Рахнийские войны. Скажем смерти нет книга 4 (СИ), Д,5.0,1,None,None,4.928349619668955,19.86606640405177,56.7799043062201,69.13136416634279,0.2914885347842985,0.0,0.67,0.09,0.08,0.07,0.01,0.01,0.07,0.2379989326142524,44.90617948613042,0.8630275362767669,31.753464031823054,0.9164928090277084,201.9336884260977,11.908462846352304,55.20804185102189,7.225711990420256,75.09081278268755
Дитё. Страж, Владимир Геннадьевич Поселягин,3.8,131,3.4,43,5.1279526912336415,12.022858644245929,60.08835078534032,114.61667960538368,1.1339549732648309,0.0,0.66,0.12,0.11,0.05,0.01,0.02,0.03,0.2062625932581822,62.49960792775788,0.8618594687981481,44.1938965872181,0.9226866275280668,301.7235028746585,8.625636833552704,60.97538567479313,4.841241268074951,92.48562349792805
Темный друид. Становление (СИ), Константин Александрович Зайцев,3.0,4,3.0,1,5.132375117813384,14.02721088435374,41.71651495448634,78.53772660140372,1.8298022506567684,18.48100273163336,0.62,0.12,0.1,0.08,0.02,0.02,0.05,0.2332138403990025,59.07265605921469,0.8684811916686939,41.77067568217131,0.9368490519919278,356.6307053045799,9.61852142366391,58.39816537079304,5.556150387631531,87.32212251215961
Система возвышения. Второй том. Часть 2, Николай Раздоров,5.0,1,None,None,4.986922875987723,13.730760651349543,54.84191829484902,94.62607544672404,2.038385175380543,4.209133024487095,0.66,0.13,0.09,0.05,0.02,0.01,0.04,0.1704236300038865,42.350186329707,0.8395896123451039,29.94610393824964,0.9217409265391964,225.21335928524303,9.067384000768502,61.64820735004233,5.173009445963347,89.97526817851445
Инженер с Земли, Алексей Константинович Чижовский,4.6,112,4.3,500,6.029769006146959,11.404780361757108,32.045981173063,68.17130272241037,1.850720855773324,27.77932004515759,0.54,0.13,0.11,0.08,0.01,0.03,0.09,0.2222887550699913,66.13267918360846,0.8679840570450612,46.76286590876397,0.9519907507768712,667.7421249334999,11.324615610855986,40.24326981884249,6.68126881946178,80.05684536239714
Проклятое дитя. Том 2 часть первая, Олег Митрофанов,4.0,1645,3.4,13086,4.758316222762641,14.531007204407402,35.94656222802437,72.14375405221303,1.288501153085427,0.0738631234252792,0.67,0.1,0.1,0.05,0.02,0.02,0.04,0.1216291468333712,55.27278634337715,0.8278511015289501,39.08376203847718,0.9158066812848756,208.0680585380057,8.825145210284088,65.32217806961482,5.021512183853831,90.87845951286712
Файролл. Снисхождение. Том 2, Андрей Васильев,4.8,965,4.3,62,4.80136304967979,9.58069334171842,26.575065274151434,93.2994489595652,1.239211936693254,0.0,0.66,0.11,0.09,0.05,0.01,0.02,0.06,0.1864924389425163,65.17610585354603,0.8566228321643881,46.08646642037463,0.9205903357235544,250.26004006541103,6.381818308164849,71.46351978085245,3.2607262034688453,103.60850223947368
Гильдия. (Том 5), Евгений Бергер,4.5,522,4.3,160,4.84025584025584,6.598935900684064,23.29857397504456,52.03765257953688,6.731655540348035,0.0,0.62,0.12,0.09,0.06,0.01,0.01,0.07,0.2874411843464289,46.4740041225099,0.8774255120607091,32.86208346391832,0.9253706053056177,224.15378185432377,4.7724786329921045,76.1533757217734,2.10580730807672,111.91786922787028
Жизнь Арсеньева. Юность, Иван Алексеевич Бунин,4.5,35,4.3,23,5.096439343953247,28.77676151761517,71.62080536912751,128.50417907579978,6.5135940051878185,15.352099144970698,0.62,0.11,0.12,0.08,0.03,0.02,0.03,0.2597690109169283,75.9005754596414,0.8812867145715678,53.66981160347369,0.9192421892310464,356.4324072976749,16.751367445231697,40.8589802746892,10.699373746716844,50.113501944683634
Петр Первый, Алексей Николаевич Толстой,4.7,208,4.5,3516,5.308155281372254,13.54541527829199,35.357567958822585,111.40932496296818,7.9741835367143965,0.0,0.5,0.11,0.1,0.11,0.03,0.03,0.12,0.2041916494554586,95.73474910296814,0.8708435317849342,67.69469028590152,0.944625680657566,596.4197478364572,9.693571308871991,56.789361413845,5.599544951464429,87.09739527489631
Хроники игрока. Ортен, Александр Игоревич Шапочкин,4.3,75,3.1,14,5.445295024108963,13.568832043083138,35.62164540255169,92.85215830924136,2.003788256405144,0.0,0.58,0.11,0.11,0.08,0.02,0.02,0.07,0.2754915522181602,78.39078111473493,0.885929917874862,55.43065290873941,0.9352512077872678,476.6324898786625,10.529219357879686,50.88658089962843,6.173133461831062,83.18879562990595
Последний первый квест. Расставляя многоточия, Ольмар Эштон,4.8,89,4.8,57,5.572093134214419,8.251470588235295,28.6078697421981,102.81289904857826,1.124080502149242,0.0,0.52,0.12,0.1,0.1,0.03,0.03,0.1,0.2984609182318345,86.6750239273893,0.8934000926638622,61.28849717856324,0.9457635301810564,545.0647590870981,8.106744528734378,56.08350738598119,4.420660044752497,95.91464425403406
Крот, Константин Николаевич Муравьёв,4.3,223,5.0,3,5.089268275869992,11.54182635126206,21.53000491883916,91.11896952928888,2.1437601920222806,0.0,0.7,0.12,0.09,0.04,0.01,0.02,0.02,0.1603248763436561,47.435847620583466,0.8391410230344066,33.542209523846324,0.9147751859495624,225.8635961774048,8.403501176628428,61.44429181859476,4.680485764182782,93.65345072803837
Заханд. Начало [СИ], Алексей Владимирович Андриенко,4.7,24,3.4,3,5.045455148531929,6.118459302325581,28.352391629297458,69.42507996391372,5.843516771918313,14.742065119330764,0.63,0.14,0.09,0.06,0.02,0.01,0.05,0.2079846054487221,57.28871681213357,0.8602544640399109,40.50924014333542,0.9302727265821532,299.2049077956028,5.430052464792507,70.37148506746576,2.548607220156791,108.97531358631602
Игра Наяву, Евгений Решетов,4.8,39,None,None,5.093086257473991,9.91739199240386,25.656058751529983,85.66591422121896,6.922498118886381,0.0,0.63,0.12,0.1,0.06,0.03,0.01,0.05,0.2345785029340203,58.82403842630777,0.8687699435384023,41.59487646802028,0.9308306969701314,358.0749945999739,7.430350097818742,64.72153824526575,3.985440391597376,98.62636116206434
Дневник писателя, Федор Михайлович Достоевский,4.5,6,None,None,5.128701444786934,22.447609692206942,88.54150537634409,116.6456098498819,5.669646010060188,0.0627780873086249,0.65,0.11,0.11,0.04,0.02,0.02,0.06,0.1583462467028402,71.84436375786541,0.8493682688721178,50.80163680321967,0.9144452352087752,188.39500098751785,13.968253210755504,46.41125975034572,8.682856656028155,64.7828601707617
Сердце Дракона. Том 6 (СИ), Кирилл Сергеевич Клеванский,4.8,101,4.7,237,5.2798674097548535,10.558687970502382,21.947586426636928,91.3765318307769,0.3825953879865048,0.0,0.58,0.14,0.11,0.07,0.02,0.02,0.06,0.168489819620368,62.53787406866324,0.849502737672286,44.22095483494213,0.9368608747040604,346.22258147031675,8.25528080711863,60.29145971748255,4.562188345971348,94.60431057204634
Нас здесь не было. Холодный мир, Олег Здрав,4.4,80,3.8,45,5.562652320456313,8.605266081546494,20.84854994629431,69.37124047259832,16.674177557458314,0.0,0.56,0.14,0.11,0.09,0.03,0.02,0.05,0.2555383822771767,71.20310038459833,0.8788275060505831,50.348195123455945,0.9407559310926816,460.830388809954,8.460324775420979,54.3611244144052,4.669192725474664,94.17006181180882
По имени Шерлок. Книга 1, Светлана Шевцова,4.6,7,4.4,243,3.699549259497746,16.580076737245985,42.78529626920263,118.47603517127,2.7703397603980395,0.0,0.5,0.1,0.05,0.05,0.02,0.02,0.25,0.1289848258174823,44.11488469818519,0.8244978201825268,31.193934121349407,0.9310189467488352,189.85863157889665,5.815657761246367,91.43189076113131,2.992320871704992,104.38673300762272
Киллхантер, Денис Владимиров,4.2,102,4.0,16,5.399230026056152,10.452620353443022,26.436419515943143,111.87874594015425,3.348326394856971,24.08562786700448,0.59,0.12,0.12,0.07,0.02,0.02,0.06,0.2544540355160287,66.7494581392663,0.8771330369454908,47.19899449080278,0.9375142909354418,473.5969663376906,8.74684540247804,56.51317062272327,4.897294580445974,92.34093449681976
Джим. На стыке Империй, Евгений Катрич,4.5,42,2.0,1,5.714604536317447,12.565768621236131,39.82426516572858,100.3112850195647,0.8500956357590229,0.0,0.56,0.1,0.12,0.09,0.02,0.01,0.1,0.19725498201919,49.77669966101656,0.8532530034019714,35.19744187539093,0.942981972611912,339.87431946242924,10.43329620231793,49.259614628759095,6.089944546624954,83.90730648863048
Новая жизнь. Клан возрожденных., Алексей Владимирович Чтец,4.8,2168,4.3,1117,5.348403510693983,18.21513680494263,56.1855880353501,105.8566240645252,0.6219778896892116,17.325093798278527,0.58,0.14,0.11,0.08,0.02,0.02,0.04,0.2647823930114097,76.12159935696103,0.8826351411681509,53.82609910007268,0.9331182106448378,500.3642872427291,12.347434695884283,48.29887996868243,7.498354667687463,73.48353556683404
Сердце Дракона. Том 8 (СИ), Кирилл Сергеевич Клеванский,4.8,101,4.7,237,5.282919363156932,10.05721683929168,18.24361493123772,96.17908849285904,0.653035636154665,0.0195910690846399,0.57,0.14,0.1,0.07,0.02,0.02,0.08,0.1769081661392667,61.4658506495288,0.8519705105290216,43.46291980568137,0.9343377955125572,321.56404352960817,7.984185715475743,61.09267049551781,4.367725251118943,96.00272149767088
Не великий_ убийца великанов., Игорь Чернышов & Alex sanguin,5.0,1,None,None,4.797385550825192,11.922724379376191,28.39218655360388,81.73771994781198,2.477167742162982,0.9961564230050424,0.65,0.13,0.08,0.05,0.02,0.02,0.06,0.1794860854817548,54.956458768751546,0.8499652396157815,38.86008466538312,0.9186720840369756,226.77600655502425,7.501308029899533,68.73415617231935,4.068123601454916,97.76592549009844
Тихий Дон. Том 2, Михаил Александрович Шолохов,4.7,1136,4.3,8833,5.300214026306698,10.784029450529474,22.42636243635678,100.29698069625476,7.586206896551724,0.0,0.56,0.1,0.1,0.09,0.03,0.04,0.08,0.1909532738570719,93.1284421931042,0.8662516056751971,65.85175299608338,0.939549394401886,410.2098068757332,8.493800317471994,59.11743634392883,4.729753148202795,93.42886404389954
Безграничный мир. Крепость., S1,4.3,255,3.7,68,5.026271092274235,7.816444773175542,21.21516872702973,86.92528735632185,4.993404936875824,0.0,0.61,0.12,0.08,0.06,0.01,0.03,0.09,0.2167346488810494,54.614121231610085,0.8617310478320365,38.61801547141569,0.9366183289738368,276.03937447304054,6.158439128050489,69.01254315611862,3.077071771988468,105.12507387070453
Книга народной мудрости, Иван Михайлович Снегирев,None,None,4.0,2,4.497182950113033,6.011693434770358,6.003005941978329,86.97824711016357,7.653486125453879,0.0249841766880975,0.55,0.09,0.08,0.06,0.02,0.03,0.18,0.2520233367880474,73.8531587324938,0.8786832924201851,52.22206935179285,0.9128638993515664,90.04640118509624,3.074270604941386,87.05330790689574,0.9319099245846144,119.9892470249987
Связующий, Антон Демченко,4.6,203,4.0,8,5.473254186323811,10.540799651378146,41.305922454196846,86.71869897459342,0.4816798380249494,0.0,0.54,0.14,0.13,0.06,0.02,0.02,0.09,0.2191551910877301,68.23614284123857,0.867794068419591,48.25023932505369,0.9348947043957668,413.3348864355795,8.890710652828968,55.68185455649996,4.997435513453224,91.6463781521458
Хадар. Игра, Артем Дем,4.8,58,3.0,10,5.1483685220729365,16.648318042813457,335.88235294117646,77.61060628631014,1.7875763444063757,0.0,0.69,0.12,0.09,0.04,0.01,0.01,0.04,0.4702276707530648,35.5325385523182,0.91276988008208,25.125298963116627,0.9202353483341296,358.0025151368069,10.882289173652572,54.90713221155059,6.464518257569258,80.77456214639363
Крейцерова соната (Сборник), Лев Николаевич Толстой,4.9,122,4.1,58,4.834148495794553,12.065976095617527,33.60741885625966,116.1631874228707,3.06443082475189,0.0051851621400201,0.7,0.11,0.08,0.04,0.02,0.01,0.04,0.162330495111952,63.33136563525306,0.8476392836623224,44.78203810249212,0.9063288354281772,117.0629577367638,7.9367110802025245,66.08340386675991,4.370181835834744,95.67966014600792
Сталь против Пламени, Кондратов Александр,4.0,5,3.0,1,5.234055499917599,10.664417757387668,31.651913875598087,92.66214360713995,2.624989903884985,0.0,0.61,0.14,0.13,0.06,0.02,0.01,0.04,0.2169482130934835,61.12513497650514,0.8645549325763665,43.2219974428298,0.932429261794714,351.46561110264633,8.146306507682933,61.335911899293,4.489456130904147,95.08185478758864
Искажающие реальность. Фракция H13. Книга 2. Рубеж., Владимир Лушник,4.8,577,4.5,118,5.477934151065203,9.17524437639854,33.113848768054375,50.87039164939486,0.987983118375412,0.0,0.58,0.13,0.12,0.07,0.02,0.02,0.06,0.2278511866581141,63.614974072420765,0.8686891147259718,44.982579551615125,0.9370489010850502,324.5808281718426,8.377365311117963,56.21213806793742,4.621771683401979,94.40996568045472
"Гиперболоид инженера Гарина. Аэлита. Похождения Невзорова, или Ибикус ", Алексей Николаевич Толстой,4.6,206,4.1,2324,5.49315577067191,10.464624676445212,27.18908345752608,100.25615217889114,6.358538494719856,0.0053254091245559,0.54,0.13,0.13,0.07,0.02,0.02,0.09,0.2338730121753191,89.34775541440503,0.8778089488584255,63.17840373732287,0.9459751817438448,475.0232598410115,8.996744742313588,54.78728663796707,5.069121478835333,91.16746767199854
Толлеус. Изгой, Анджей Ясинский & Дмитрий Александрович Коркин,4.2,71,4.2,45,5.372940746436089,12.038176033934253,41.21683014971605,93.77908225356146,4.8167881942668975,0.0,0.6,0.11,0.1,0.07,0.03,0.03,0.07,0.2253466437867154,63.67269012980995,0.8679881787649416,45.02339096717837,0.9319698517261928,385.0895471873568,9.377030243506436,55.66284043448351,5.356960423820942,88.97168597937944
Гуттаперчевый мальчик (сборник), Дмитрий Васильевич Григорович,4.4,350,4.3,27,5.1563998827323365,14.401047828291365,37.79275298276624,114.6291665710812,6.909683191484481,0.0,0.56,0.13,0.11,0.06,0.03,0.02,0.1,0.1772171879567378,73.29382387713574,0.8563966205767358,51.82655988261517,0.938407743979258,317.1801542580232,9.892322818692415,57.37703597101972,5.750959561875957,85.93456594963953
Звёздный волк, Евгений Щепетнов,4.0,80,3.9,19,5.138969451377871,10.20524152106886,41.35426195426196,83.1319362737304,2.85400833147836,0.0,0.63,0.1,0.12,0.06,0.02,0.01,0.06,0.2136400655559689,67.37524851852666,0.8658731080187813,47.64149511157908,0.9312304707814656,283.6770588513177,7.739483118461454,63.14902368326682,4.20222930320873,97.10888732752174
Призрачный Сервер. Книга 3. Черное Солнце, Андрей Львович Ливадный,4.5,218,4.4,83,5.997875166002656,7.300553481786587,15.901479207368128,75.32190536377281,2.870158253679859,45.4485609711141,0.49,0.16,0.12,0.09,0.03,0.03,0.08,0.277437472575691,66.2227614117982,0.8829117238509205,46.82656366318134,0.9598970482203424,781.8954209175138,9.24749097654679,45.78725860797266,5.186819005527026,90.84109466219364
За кулисами. 6, Прочерк Игорь Анатольевич,3.0,16,5.0,1,5.808996212121212,17.048973143759873,138.25,108.16859380828048,0.7459903021260723,14.397612831033197,0.59,0.14,0.08,0.09,0.01,0.02,0.07,0.4098553345388788,43.10306522121992,0.9042055228996086,30.47846970785064,0.9467987977593696,514.9269887452388,13.589239343245392,36.63697589924371,8.328973484460372,68.01362630119989
Избранная проза, Саша Черный,5.0,6,5.0,1,5.076908132974838,11.235063235935456,26.056070996369503,106.92968408793128,8.176833114960935,0.0303294996845732,0.58,0.1,0.1,0.08,0.02,0.03,0.09,0.2472636353784466,88.87261842037579,0.8812729074650438,62.842431146852206,0.9364950035653226,384.0706276428383,7.790209632638906,65.17168710103704,4.254970665192081,96.59282522617876
Вы призвали не того_. Книга 2 (СИ), Тимур Аскарович Айтбаев,4.5,102,4.4,1934,5.254496367691365,10.33677575107296,16.057636287973367,82.60643405889884,6.9822343149807935,0.0,0.52,0.14,0.13,0.1,0.02,0.02,0.06,0.2473015173700646,68.70043274250668,0.8758511475067595,48.57854186267679,0.941829606296463,234.027248424224,8.134694095115577,60.59933357202493,4.475323371252832,95.2320232400938
Постигающий, Павел Абсолют,4.4,80,4.4,3,5.093097079533649,6.75452727474725,21.22377134890205,60.73034252999968,0.9121195458809068,38.36077239059417,0.62,0.12,0.1,0.05,0.01,0.01,0.07,0.1774974955247902,61.94179415599669,0.8523654504603608,43.799462686566514,0.9330656563738728,305.72983531488046,5.942834958845825,68.16188412005698,2.9112138165728645,106.4114614952748
Отвергнутые Боги Годвигула. Книга вторая, Крис Кельм,4.5,166,3.8,28,5.173371265270394,11.302607685043943,21.06012700986353,81.78629305216518,4.738558739666455,0.0,0.62,0.1,0.11,0.07,0.03,0.02,0.05,0.1607213888853245,63.45259264180043,0.8471087360830896,44.86775854088471,0.9241000334345408,298.7303640856975,8.46292608864439,60.48848734101804,4.717239962323442,93.43826822905724
Эпоха Войн. Том 2, Максим Грек,4.1,1033,4.5,391,5.019842707093703,7.836082059533387,17.35549645390071,55.06084293657829,3.747280199854944,0.0,0.59,0.13,0.12,0.07,0.02,0.02,0.06,0.2508555958522756,49.6377241869634,0.8692346004149408,35.09917137526932,0.9209719967692828,228.55511930152056,6.324932073367751,67.90117328902113,3.191839410748875,104.33875716189064
Безграничный мир. Песочница., S1,4.3,255,3.7,68,5.070058303554636,6.9272158723312485,15.365352449223415,69.89603821298117,3.1806687271705534,0.0,0.62,0.12,0.08,0.06,0.02,0.02,0.08,0.1985879572032844,50.35839764613189,0.853990777242548,35.608764465268536,0.942600116277672,251.55394597779213,5.848367521595424,69.20549295094321,2.849204112936114,106.8092522616774
Первый робинзон Экса, Артем Каменистый,4.1,419,3.7,88,5.545691906005222,9.637047235755135,25.673980309423342,81.88087332552425,6.6142342548637965,16.857049752076307,0.54,0.14,0.13,0.1,0.03,0.02,0.06,0.2181087092285611,65.89301992330421,0.8666768908687292,46.59340122062869,0.941826004517076,359.7673448271553,8.82716948450076,54.103714513354106,4.938562925072647,92.18092696143002
Замечательные чудаки и оригиналы, Михаил Иванович Пыляев,4.2,5,4.2,7,5.466242204420322,19.077512437810945,67.83721751412429,92.84777608186256,5.198099619493949,0.0257970204441387,0.54,0.11,0.11,0.07,0.02,0.03,0.12,0.2207792207792207,96.7695750189627,0.8758334067436682,68.42642270844885,0.927554557499699,360.3255398187234,13.379707711893952,43.011408649073104,8.221993076494622,68.4205761925584
Технолог, Сергей Залевский,1.7,76,5.0,1,5.628384227336498,18.01957104557641,37.81624649859944,76.00297533352528,2.8553603992705634,49.9448123620309,0.58,0.12,0.12,0.06,0.02,0.02,0.08,0.2445112737400373,63.52683348852921,0.8733358863212706,44.92025474704767,0.9479413756992244,435.0568658560277,13.315810206117352,41.01488205702549,8.15970756990904,69.00607681589679
Файролл. Пути Востока, Андрей Васильев,4.8,965,4.3,62,4.857751982384461,8.76410998552822,22.04880089235917,90.93436619178188,2.607711924529749,0.0,0.65,0.11,0.08,0.06,0.01,0.02,0.07,0.2166137579521165,60.90930825781804,0.864370231537798,43.06938490648491,0.9203332603562416,230.1425196834715,6.1589022108488685,71.2274138657912,3.094086569564226,104.86317773853852
Темное Наследие, Валерий Старский,4.7,93,4.0,10,5.459706528963649,12.53922821364682,26.50175249393368,99.3706338730966,6.663876637800599,0.0,0.58,0.12,0.09,0.09,0.03,0.03,0.06,0.2327483595299862,72.97134348034868,0.8731879046511194,51.59853180724732,0.9348747954735754,415.20042035000415,10.029441826890524,52.06511272828806,5.81238364870468,85.80179420371475
Мусорщик. Мечта, Евгений Владимирович Щепетнов,4.4,258,4.1,22,5.114700627166001,8.849931209651816,40.10086042065009,91.0380060666961,3.033348046166994,0.0,0.61,0.15,0.08,0.06,0.02,0.03,0.06,0.2051352350073309,59.4152527491145,0.8602762985166919,42.01292812481152,0.926391509082752,241.29044579355875,6.903710943898545,66.07440527033958,3.606136790026424,101.3668044852024
